,0
Start,2015-08-17 00:00:00
End,2016-09-27 00:00:00
Duration,407 days 00:00:00
Exposure Time [%],73.04964539007092
Equity Final [$],10414.28555105814
Equity Peak [$],10838.14348085024
Return [%],4.142855510581394
Buy & Hold Return [%],6.74873591533819
Return (Ann.) [%],3.6940900177677483
Volatility (Ann.) [%],10.50957645143552
Sharpe Ratio,0.35149751608335905
Sortino Ratio,0.5035348814702474
Calmar Ratio,0.6869988491199028
Max. Drawdown [%],-5.377141493759641
Avg. Drawdown [%],-1.8954196806757282
Max. Drawdown Duration,134 days 00:00:00
Avg. Drawdown Duration,26 days 00:00:00
# Trades,5
Win Rate [%],60.0
Best Trade [%],4.164040503225297
Worst Trade [%],-2.0328022632921106
Avg. Trade [%],0.817176033991518
Max. Trade Duration,118 days 00:00:00
Avg. Trade Duration,60 days 00:00:00
Profit Factor,2.9738796295001073
Expectancy [%],0.8384197031957318
SQN,0.7860739796274878
_strategy,EmaCross
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2015-08-17  10000.000000     0.000000              NaT
2015-08-18  10000.000000     0.000000              NaT
2015-08-19  10000.000000     0.000000              NaT
2015-08-20  10000.000000     0.000000              NaT
2015-08-21  10000.000000     0.000000              NaT
...                  ...          ...              ...
2016-09-21  10628.155236     0.019375              NaT
2016-09-22  10628.155236     0.019375              NaT
2016-09-23  10519.305257     0.029418              NaT
2016-09-26  10423.987874     0.038213              NaT
2016-09-27  10414.285551     0.039108          43 days

[282 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    69        23       24  143.381150  143.250696   -9.001323  -0.000910 2015-09-18 2015-09-21   3 days
1    67        36       98  147.402865  147.836756   29.070668   0.002944 2015-10-07 2016-01-06  91 days
2    67       137      219  149.042174  155.248350  415.813824   0.041640 2016-03-03 2016-06-29 118 days
3    65       221      275  159.249093  162.207125  192.272067   0.018575 2016-07-01 2016-09-19  80 days
4    64       279      281  164.389517  161.047803 -213.869684  -0.020328 2016-09-23 2016-09-27   4 days"
