,0
Start,2009-01-02 00:00:00
End,2010-02-11 00:00:00
Duration,405 days 00:00:00
Exposure Time [%],73.92857142857143
Equity Final [$],12064.482334597265
Equity Peak [$],12711.845822612608
Return [%],20.644823345972654
Buy & Hold Return [%],19.011644114568867
Return (Ann.) [%],18.40166855757137
Volatility (Ann.) [%],20.41555801561831
Sharpe Ratio,0.9013551597998803
Sortino Ratio,1.5483216334258465
Calmar Ratio,2.689782016564003
Max. Drawdown [%],-6.84132336533283
Avg. Drawdown [%],-2.4717975514554245
Max. Drawdown Duration,87 days 00:00:00
Avg. Drawdown Duration,17 days 00:00:00
# Trades,4
Win Rate [%],75.0
Best Trade [%],12.146605906385854
Worst Trade [%],-2.48759294812797
Avg. Trade [%],4.8238730162510235
Max. Trade Duration,110 days 00:00:00
Avg. Trade Duration,74 days 00:00:00
Profit Factor,9.0233520014488
Expectancy [%],4.989708464788118
SQN,1.4824217127449655
_strategy,MacdStratSL
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2009-01-02  10000.000000     0.000000              NaT
2009-01-05  10000.000000     0.000000              NaT
2009-01-06  10000.000000     0.000000              NaT
2009-01-07   9807.715321     0.019228              NaT
2009-01-08   9752.927499     0.024707              NaT
...                  ...          ...              ...
2010-02-05  12064.482335     0.050926              NaT
2010-02-08  12064.482335     0.050926              NaT
2010-02-09  12064.482335     0.050926              NaT
2010-02-10  12064.482335     0.050926              NaT
2010-02-11  12064.482335     0.050926          23 days

[280 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0   139         3        4   71.454617  69.677117  -247.072501  -0.024876 2009-01-07 2009-01-08   1 days
1   153        56      128   63.541341  69.343355   887.708174   0.091311 2009-03-25 2009-07-08 105 days
2   143       135      212   73.993089  82.980738  1285.233797   0.121466 2009-07-17 2009-11-04 110 days
3   139       215      268   85.324269  86.321484   138.612864   0.011687 2009-11-09 2010-01-27  79 days"
