,0
Start,2015-08-17 00:00:00
End,2016-09-27 00:00:00
Duration,407 days 00:00:00
Exposure Time [%],68.08510638297872
Equity Final [$],9935.997710599648
Equity Peak [$],10490.927710616526
Return [%],-0.6400228940035231
Buy & Hold Return [%],6.74873591533819
Return (Ann.) [%],-0.5721305215874883
Volatility (Ann.) [%],9.939129912592968
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-8.914231842328945
Avg. Drawdown [%],-1.942771254744656
Max. Drawdown Duration,301 days 00:00:00
Avg. Drawdown Duration,42 days 00:00:00
# Trades,6
Win Rate [%],50.0
Best Trade [%],4.015845894063785
Worst Trade [%],-3.6082236363305764
Avg. Trade [%],-0.09969815327337539
Max. Trade Duration,83 days 00:00:00
Avg. Trade Duration,46 days 00:00:00
Profit Factor,0.9541639432771301
Expectancy [%],-0.06002122705401902
SQN,-0.08548527467476252
_strategy,MacdStrat
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2015-08-17  10000.000000     0.000000              NaT
2015-08-18  10000.000000     0.000000              NaT
2015-08-19  10000.000000     0.000000              NaT
2015-08-20  10000.000000     0.000000              NaT
2015-08-21  10000.000000     0.000000              NaT
...                  ...          ...              ...
2016-09-21   9935.997711     0.052896              NaT
2016-09-22   9935.997711     0.052896              NaT
2016-09-23   9935.997711     0.052896              NaT
2016-09-26   9935.997711     0.052896              NaT
2016-09-27   9935.997711     0.052896         301 days

[282 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    69        23       26  143.381150  142.024102  -93.636272  -0.009465 2015-09-18 2015-09-23   5 days
1    67        36       88  147.402865  150.777368  226.091716   0.022893 2015-10-07 2015-12-21  75 days
2    65        94       96  155.304636  149.700898 -364.243009  -0.036082 2015-12-30 2016-01-04   5 days
3    65       133      191  148.256018  154.209751  386.992659   0.040158 2016-02-26 2016-05-19  83 days
4    64       197      218  158.432685  153.200965 -334.830091  -0.033022 2016-05-27 2016-06-28  32 days
5    61       222      272  159.070963  160.966417  115.622708   0.011916 2016-07-05 2016-09-14  71 days"
