,0
Start,2009-01-02 00:00:00
End,2010-02-11 00:00:00
Duration,405 days 00:00:00
Exposure Time [%],22.857142857142858
Equity Final [$],10780.825947745538
Equity Peak [$],11243.694782322906
Return [%],7.808259477455376
Buy & Hold Return [%],19.011644114568867
Return (Ann.) [%],7.00075229815027
Volatility (Ann.) [%],14.635443493526468
Sharpe Ratio,0.47834234071873766
Sortino Ratio,0.8734542529168172
Calmar Ratio,0.6309452682942412
Max. Drawdown [%],-11.095657024383087
Avg. Drawdown [%],-2.6100294480257835
Max. Drawdown Duration,94 days 00:00:00
Avg. Drawdown Duration,20 days 00:00:00
# Trades,8
Win Rate [%],37.5
Best Trade [%],11.752684565561623
Worst Trade [%],-6.456850066567476
Avg. Trade [%],0.9428746081535211
Max. Trade Duration,50 days 00:00:00
Avg. Trade Duration,11 days 00:00:00
Profit Factor,1.6419599962772045
Expectancy [%],1.1386901805847907
SQN,0.4204173319294477
_strategy,RsiCrossSL
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2009-01-02  10000.000000     0.000000              NaT
2009-01-05  10000.000000     0.000000              NaT
2009-01-06  10000.000000     0.000000              NaT
2009-01-07  10000.000000     0.000000              NaT
2009-01-08  10000.000000     0.000000              NaT
...                  ...          ...              ...
2010-02-05  10867.194782     0.033485              NaT
2010-02-08  10735.244170     0.045221              NaT
2010-02-09  10869.853545     0.033249              NaT
2010-02-10  10794.882547     0.039917              NaT
2010-02-11  10780.825948     0.041167           9 days

[280 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0   149        18       19   66.879965  64.159602  -405.334094  -0.040675 2009-01-29 2009-01-30   1 days
1   160        33       36   59.594711  59.615053     3.254732   0.000341 2009-02-20 2009-02-25   5 days
2   160        36       39   59.913128  56.044627  -618.960136  -0.064569 2009-02-25 2009-03-02   5 days
3   158        46       56   56.697683  63.225215  1031.350068   0.115129 2009-03-11 2009-03-25  14 days
4   141       119      154   70.925111  79.260716  1175.320246   0.117527 2009-06-24 2009-08-13  50 days
5   128       272      276   86.824612  84.400066  -310.341834  -0.027925 2010-02-02 2010-02-08   6 days
6   128       276      278   84.822066  84.645193   -22.639854  -0.002085 2010-02-08 2010-02-10   2 days
7   127       278      279   85.068419  84.502882   -71.823180  -0.006648 2010-02-10 2010-02-11   1 days"
