,0
Start,2007-10-09 00:00:00
End,2008-11-19 00:00:00
Duration,407 days 00:00:00
Exposure Time [%],36.39575971731448
Equity Final [$],7832.151533535287
Equity Peak [$],10172.96695324663
Return [%],-21.67848466464713
Buy & Hold Return [%],-46.81173384670293
Return (Ann.) [%],-19.5538220564748
Volatility (Ann.) [%],14.17846044122903
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-23.010154564242335
Avg. Drawdown [%],-13.009268394794265
Max. Drawdown Duration,292 days 00:00:00
Avg. Drawdown Duration,150 days 00:00:00
# Trades,7
Win Rate [%],28.57142857142857
Best Trade [%],1.8363167681273662
Worst Trade [%],-8.497126469447046
Avg. Trade [%],-3.442493960229609
Max. Trade Duration,61 days 00:00:00
Avg. Trade Duration,21 days 00:00:00
Profit Factor,0.0918189667923304
Expectancy [%],-3.3745755973136498
SQN,-2.2400010026044734
_strategy,RsiCrossSL
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2007-10-09  10000.000000     0.000000              NaT
2007-10-10  10000.000000     0.000000              NaT
2007-10-11  10000.000000     0.000000              NaT
2007-10-12  10000.000000     0.000000              NaT
2007-10-15  10000.000000     0.000000              NaT
...                  ...          ...              ...
2008-11-13   7832.151534     0.230102              NaT
2008-11-14   7832.151534     0.230102              NaT
2008-11-17   7832.151534     0.230102              NaT
2008-11-18   7832.151534     0.230102              NaT
2008-11-19   7832.151534     0.230102         292 days

[283 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    96        74       98  103.532642  102.330844 -115.372599  -0.011608 2008-01-25 2008-02-29  35 days
1    98       106      111  100.673429  101.229064   54.452294   0.005519 2008-03-12 2008-03-19   7 days
2    97       111      125  101.735209  103.603390  181.213529   0.018363 2008-03-19 2008-04-09  21 days
3   102       184      192   98.652177   92.833733 -593.481234  -0.058979 2008-07-02 2008-07-15  13 days
4    99       194      236   95.856316   89.327687 -646.334307  -0.068108 2008-07-17 2008-09-16  61 days
5   110       256      257   80.663630   73.809539 -753.949973  -0.084971 2008-10-14 2008-10-15   1 days
6   114       259      262   70.871535   68.289288 -294.376176  -0.036436 2008-10-17 2008-10-22   5 days"
