,0
Start,2009-01-02 00:00:00
End,2010-02-11 00:00:00
Duration,405 days 00:00:00
Exposure Time [%],29.642857142857142
Equity Final [$],10030.90629349175
Equity Peak [$],10461.189898828065
Return [%],0.30906293491749237
Buy & Hold Return [%],19.011644114568867
Return (Ann.) [%],0.27811370610113517
Volatility (Ann.) [%],17.66517486315574
Sharpe Ratio,0.01574361466872298
Sortino Ratio,0.023892165308897755
Calmar Ratio,0.012341376705562679
Max. Drawdown [%],-22.53506336742641
Avg. Drawdown [%],-5.762652688046475
Max. Drawdown Duration,165 days 00:00:00
Avg. Drawdown Duration,33 days 00:00:00
# Trades,8
Win Rate [%],37.5
Best Trade [%],11.752684565561623
Worst Trade [%],-11.3363472497649
Avg. Trade [%],0.03600173416449248
Max. Trade Duration,50 days 00:00:00
Avg. Trade Duration,15 days 00:00:00
Profit Factor,1.1180384443938973
Expectancy [%],0.307487115069123
SQN,0.014938585605656137
_strategy,RsiCross
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2009-01-02  10000.000000     0.000000              NaT
2009-01-05  10000.000000     0.000000              NaT
2009-01-06  10000.000000     0.000000              NaT
2009-01-07  10000.000000     0.000000              NaT
2009-01-08  10000.000000     0.000000              NaT
...                  ...          ...              ...
2010-02-05  10111.162555     0.033460              NaT
2010-02-08   9988.489720     0.045186              NaT
2010-02-09  10113.634373     0.033223              NaT
2010-02-10  10043.966756     0.039883              NaT
2010-02-11  10030.906293     0.041131           9 days

[280 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0   149        18       33   66.879965  59.298220 -1129.680010  -0.113363 2009-01-29 2009-02-20  22 days
1   148        33       36   59.594711  59.615053     3.010627   0.000341 2009-02-20 2009-02-25   5 days
2   148        36       46   59.913128  56.415605  -517.633477  -0.058377 2009-02-25 2009-03-11  14 days
3   147        46       56   56.697683  63.225215   959.547215   0.115129 2009-03-11 2009-03-25  14 days
4   131       119      154   70.925111  79.260716  1091.964200   0.117527 2009-06-24 2009-08-13  50 days
5   119       272      276   86.824612  84.400066  -288.520924  -0.027925 2010-02-02 2010-02-08   6 days
6   119       276      278   84.822066  84.645193   -21.047989  -0.002085 2010-02-08 2010-02-10   2 days
7   118       278      279   85.068419  84.502882   -66.733348  -0.006648 2010-02-10 2010-02-11   1 days"
