,0
Start,2007-10-09 00:00:00
End,2008-11-19 00:00:00
Duration,407 days 00:00:00
Exposure Time [%],50.8833922261484
Equity Final [$],6664.90786937286
Equity Peak [$],10172.96695324663
Return [%],-33.3509213062714
Buy & Hold Return [%],-46.81173384670293
Return (Ann.) [%],-30.321971947513994
Volatility (Ann.) [%],23.826634808570617
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-35.9758886889957
Avg. Drawdown [%],-19.49213545717095
Max. Drawdown Duration,292 days 00:00:00
Avg. Drawdown Duration,150 days 00:00:00
# Trades,7
Win Rate [%],28.57142857142857
Best Trade [%],1.8363167681273662
Worst Trade [%],-16.26809606314328
Avg. Trade [%],-5.648977646846243
Max. Trade Duration,89 days 00:00:00
Avg. Trade Duration,29 days 00:00:00
Profit Factor,0.05911920802447428
Expectancy [%],-5.429816219560508
SQN,-1.9898763234840937
_strategy,RsiCross
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2007-10-09  10000.000000     0.000000              NaT
2007-10-10  10000.000000     0.000000              NaT
2007-10-11  10000.000000     0.000000              NaT
2007-10-12  10000.000000     0.000000              NaT
2007-10-15  10000.000000     0.000000              NaT
...                  ...          ...              ...
2008-11-13   7072.168562     0.304808              NaT
2008-11-14   6719.878355     0.339438              NaT
2008-11-17   6630.840666     0.348190              NaT
2008-11-18   6755.497130     0.335936              NaT
2008-11-19   6664.907869     0.344841         292 days

[283 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    96        74       98  103.532642  102.330844  -115.372599  -0.011608 2008-01-25 2008-02-29  35 days
1    98       106      111  100.673429  101.229064    54.452294   0.005519 2008-03-12 2008-03-19   7 days
2    97       111      125  101.735209  103.603390   181.213529   0.018363 2008-03-19 2008-04-09  21 days
3   102       184      194   98.652177   95.379419  -333.821279  -0.033175 2008-07-02 2008-07-17  15 days
4   102       194      256   95.856316   80.262318 -1590.587753  -0.162681 2008-07-17 2008-10-14  89 days
5   101       256      259   80.663630   70.518940 -1024.613657  -0.125765 2008-10-14 2008-10-17   3 days
6   101       259      282   70.871535   65.858043  -506.362665  -0.070741 2008-10-17 2008-11-19  33 days"
