,0
Start,2009-01-02 00:00:00
End,2010-02-11 00:00:00
Duration,405 days 00:00:00
Exposure Time [%],63.57142857142857
Equity Final [$],10635.546782982337
Equity Peak [$],11657.726687978215
Return [%],6.3554678298233735
Buy & Hold Return [%],19.011644114568867
Return (Ann.) [%],5.7021546318439364
Volatility (Ann.) [%],19.22572580961621
Sharpe Ratio,0.29658982388024413
Sortino Ratio,0.4625762811420861
Calmar Ratio,0.6503176192931889
Max. Drawdown [%],-8.768261019963507
Avg. Drawdown [%],-3.629604514607729
Max. Drawdown Duration,142 days 00:00:00
Avg. Drawdown Duration,30 days 00:00:00
# Trades,7
Win Rate [%],42.857142857142854
Best Trade [%],14.283819206287852
Worst Trade [%],-5.102125304293869
Avg. Trade [%],0.8913663389173987
Max. Trade Duration,76 days 00:00:00
Avg. Trade Duration,36 days 00:00:00
Profit Factor,1.4798877893091629
Expectancy [%],1.1464921397099712
SQN,0.3029938308716815
_strategy,SmaCrossSL
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2009-01-02  10000.000000     0.000000              NaT
2009-01-05  10000.000000     0.000000              NaT
2009-01-06  10000.000000     0.000000              NaT
2009-01-07  10000.000000     0.000000              NaT
2009-01-08  10000.000000     0.000000              NaT
...                  ...          ...              ...
2010-02-05  10635.546783     0.087683              NaT
2010-02-08  10635.546783     0.087683              NaT
2010-02-09  10635.546783     0.087683              NaT
2010-02-10  10635.546783     0.087683              NaT
2010-02-11  10635.546783     0.087683         142 days

[280 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0   149        26       26   67.004226  63.946694  -455.572339  -0.045632 2009-02-10 2009-02-10   0 days
1   154        53      100   61.609195  70.409340  1355.222478   0.142838 2009-03-20 2009-05-28  69 days
2   147       103      117   73.843397  70.075814  -553.834649  -0.051021 2009-06-02 2009-06-22  20 days
3   138       138      191   74.701062  82.398757  1062.281939   0.103047 2009-07-22 2009-10-06  76 days
4   132       199      209   85.996100  81.969746  -531.478685  -0.046820 2009-10-16 2009-10-30  14 days
5   124       220      238   87.244957  87.385025    17.368457   0.001605 2009-11-16 2009-12-11  25 days
6   123       239      268   88.422625  86.321484  -258.440418  -0.023762 2009-12-14 2010-01-27  44 days"
