,0
Start,2007-10-09 00:00:00
End,2008-11-19 00:00:00
Duration,407 days 00:00:00
Exposure Time [%],33.56890459363957
Equity Final [$],9514.91356729936
Equity Peak [$],10262.946442983412
Return [%],-4.850864327006402
Buy & Hold Return [%],-46.81173384670293
Return (Ann.) [%],-4.3311850737621445
Volatility (Ann.) [%],10.546441622818566
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-7.288675623903973
Avg. Drawdown [%],-3.696761799168894
Max. Drawdown Duration,100 days 00:00:00
Avg. Drawdown Duration,49 days 00:00:00
# Trades,6
Win Rate [%],50.0
Best Trade [%],5.098993909820049
Worst Trade [%],-6.812990016347708
Avg. Trade [%],-0.828171875305217
Max. Trade Duration,63 days 00:00:00
Avg. Trade Duration,22 days 00:00:00
Profit Factor,0.6720220296694792
Expectancy [%],-0.7398758545663371
SQN,-0.43561128766272894
_strategy,SmaCrossSL
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2007-10-09  10000.000000     0.000000              NaT
2007-10-10  10000.000000     0.000000              NaT
2007-10-11  10000.000000     0.000000              NaT
2007-10-12  10000.000000     0.000000              NaT
2007-10-15  10000.000000     0.000000              NaT
...                  ...          ...              ...
2008-11-13   9514.913567     0.072887              NaT
2008-11-14   9514.913567     0.072887              NaT
2008-11-17   9514.913567     0.072887              NaT
2008-11-18   9514.913567     0.072887              NaT
2008-11-19   9514.913567     0.072887         100 days

[283 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    87        42       54  114.234523  112.179067 -178.824698  -0.017993 2007-12-07 2007-12-26  19 days
1    97        85       90  100.946463  103.176050  216.269960   0.022087 2008-02-11 2008-02-19   8 days
2    96        96      100  104.329021   99.193004 -493.057610  -0.049229 2008-02-27 2008-03-04   6 days
3    94       117      161  101.362347  106.530807  485.835231   0.050990 2008-03-28 2008-05-30  63 days
4   103       203      226   97.365311   99.106487  179.341095   0.017883 2008-07-30 2008-09-02  34 days
5   139       275      276   73.352301   68.354816 -694.650411  -0.068130 2008-11-10 2008-11-11   1 days"
