,0
Start,2015-08-17 00:00:00
End,2016-09-27 00:00:00
Duration,407 days 00:00:00
Exposure Time [%],54.96453900709219
Equity Final [$],10070.610052074693
Equity Peak [$],10391.112733623579
Return [%],0.7061005207469315
Buy & Hold Return [%],6.74873591533819
Return (Ann.) [%],0.6307470707574314
Volatility (Ann.) [%],8.306980284147569
Sharpe Ratio,0.07592976619447415
Sortino Ratio,0.11059535888979528
Calmar Ratio,0.06753236048148639
Max. Drawdown [%],-9.3399233531952
Avg. Drawdown [%],-2.5922197074028004
Max. Drawdown Duration,165 days 00:00:00
Avg. Drawdown Duration,54 days 00:00:00
# Trades,8
Win Rate [%],50.0
Best Trade [%],7.822055593904387
Worst Trade [%],-5.316907526838599
Avg. Trade [%],0.08111266200705458
Max. Trade Duration,72 days 00:00:00
Avg. Trade Duration,26 days 00:00:00
Profit Factor,1.1093458370337825
Expectancy [%],0.15220389089486003
SQN,0.06392229044580328
_strategy,SmaCrossSL
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2015-08-17  10000.000000     0.000000              NaT
2015-08-18  10000.000000     0.000000              NaT
2015-08-19  10000.000000     0.000000              NaT
2015-08-20  10000.000000     0.000000              NaT
2015-08-21  10000.000000     0.000000              NaT
...                  ...          ...              ...
2016-09-21  10070.610052     0.030844              NaT
2016-09-22  10070.610052     0.030844              NaT
2016-09-23  10070.610052     0.030844              NaT
2016-09-26  10070.610052     0.030844              NaT
2016-09-27  10070.610052     0.030844         160 days

[282 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    69        23       32  143.381150  141.806661 -108.639722  -0.010981 2015-09-18 2015-10-01  13 days
1    66        38       67  149.168959  154.205446  332.408092   0.033764 2015-10-09 2015-11-19  41 days
2    65        74       83  156.127352  151.028448 -331.428770  -0.032659 2015-12-01 2015-12-14  13 days
3    68       119      123  144.209932  136.542423 -521.390593  -0.053169 2016-02-05 2016-02-11   6 days
4    65       131      182  143.627515  154.862139  730.250566   0.078221 2016-02-24 2016-05-06  72 days
5    64       200      214  157.614915  157.969316   22.681697   0.002249 2016-06-02 2016-06-22  20 days
6    62       227      246  163.017008  164.532995   93.991145   0.009300 2016-07-12 2016-08-08  27 days
7    61       252      264  165.952847  163.538710 -147.262363  -0.014547 2016-08-16 2016-09-01  16 days"
