,0
Start,2009-01-02 00:00:00
End,2010-02-11 00:00:00
Duration,405 days 00:00:00
Exposure Time [%],66.78571428571428
Equity Final [$],10212.72946010787
Equity Peak [$],11244.320950007588
Return [%],2.127294601078702
Buy & Hold Return [%],19.011644114568867
Return (Ann.) [%],1.912544428086771
Volatility (Ann.) [%],19.153764354826357
Sharpe Ratio,0.09985214356074339
Sortino Ratio,0.14627237483545746
Calmar Ratio,0.17815970426009262
Max. Drawdown [%],-10.735000016023132
Avg. Drawdown [%],-4.259080380525019
Max. Drawdown Duration,142 days 00:00:00
Avg. Drawdown Duration,45 days 00:00:00
# Trades,7
Win Rate [%],42.857142857142854
Best Trade [%],14.283819206287852
Worst Trade [%],-7.913782974292582
Avg. Trade [%],0.301846899916991
Max. Trade Duration,76 days 00:00:00
Avg. Trade Duration,38 days 00:00:00
Profit Factor,1.2027872870442702
Expectancy [%],0.5960903138709324
SQN,0.09782653123503172
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
Date                                                 
2009-01-02  10000.00000     0.000000              NaT
2009-01-05  10000.00000     0.000000              NaT
2009-01-06  10000.00000     0.000000              NaT
2009-01-07  10000.00000     0.000000              NaT
2009-01-08  10000.00000     0.000000              NaT
...                 ...          ...              ...
2010-02-05  10212.72946     0.091743              NaT
2010-02-08  10212.72946     0.091743              NaT
2010-02-09  10212.72946     0.091743              NaT
2010-02-10  10212.72946     0.091743              NaT
2010-02-11  10212.72946     0.091743         142 days

[280 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0   149        26       32   67.004226  61.701657  -790.082789  -0.079138 2009-02-10 2009-02-19   9 days
1   149        53      100   61.609195  70.409340  1311.221748   0.142838 2009-03-20 2009-05-28  69 days
2   142       103      118   73.843397  70.032156  -541.196193  -0.051612 2009-06-02 2009-06-23  21 days
3   133       138      191   74.701062  82.398757  1023.793463   0.103047 2009-07-22 2009-10-06  76 days
4   127       199      211   85.996100  81.588697  -559.740176  -0.051251 2009-10-16 2009-11-03  18 days
5   119       220      238   87.244957  87.385025    16.668116   0.001605 2009-11-16 2009-12-11  25 days
6   118       239      268   88.422625  86.321484  -247.934710  -0.023762 2009-12-14 2010-01-27  44 days"
