,0
Start,2007-10-09 00:00:00
End,2008-11-19 00:00:00
Duration,407 days 00:00:00
Exposure Time [%],36.39575971731448
Equity Final [$],9107.49924774851
Equity Peak [$],10137.197689735773
Return [%],-8.925007522514898
Buy & Hold Return [%],-46.81173384670293
Return (Ann.) [%],-7.9875515072357235
Volatility (Ann.) [%],12.862860940264795
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-10.737786920107117
Avg. Drawdown [%],-5.5519400183449275
Max. Drawdown Duration,100 days 00:00:00
Avg. Drawdown Duration,68 days 00:00:00
# Trades,6
Win Rate [%],50.0
Best Trade [%],5.098993909820049
Worst Trade [%],-9.725611789429777
Avg. Trade [%],-1.5530591868567534
Max. Trade Duration,63 days 00:00:00
Avg. Trade Duration,24 days 00:00:00
Profit Factor,0.5166210944633778
Expectancy [%],-1.41844744559698
SQN,-0.6577739597082115
_strategy,SmaCross
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2007-10-09  10000.000000     0.000000              NaT
2007-10-10  10000.000000     0.000000              NaT
2007-10-11  10000.000000     0.000000              NaT
2007-10-12  10000.000000     0.000000              NaT
2007-10-15  10000.000000     0.000000              NaT
...                  ...          ...              ...
2008-11-13   9610.561346     0.051951              NaT
2008-11-14   9132.702352     0.099090              NaT
2008-11-17   9107.499248     0.101576              NaT
2008-11-18   9107.499248     0.101576              NaT
2008-11-19   9107.499248     0.101576         100 days

[283 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    87        42       54  114.234523  112.179067 -178.824698  -0.017993 2007-12-07 2007-12-26  19 days
1    97        85       90  100.946463  103.176050  216.269960   0.022087 2008-02-11 2008-02-19   8 days
2    96        96      104  104.329021   97.984031 -609.118999  -0.060817 2008-02-27 2008-03-10  12 days
3    93       117      161  101.362347  106.530807  480.666771   0.050990 2008-03-28 2008-05-30  63 days
4   101       203      226   97.365311   99.106487  175.858744   0.017883 2008-07-30 2008-09-02  34 days
5   137       275      280   73.352301   66.218341 -977.352530  -0.097256 2008-11-10 2008-11-17   7 days"
