,0
Start,2015-08-17 00:00:00
End,2016-09-27 00:00:00
Duration,407 days 00:00:00
Exposure Time [%],57.09219858156028
Equity Final [$],10710.927390223755
Equity Peak [$],11051.445879143906
Return [%],7.109273902237547
Buy & Hold Return [%],6.74873591533819
Return (Ann.) [%],6.329551523159793
Volatility (Ann.) [%],9.202617175119377
Sharpe Ratio,0.6877990687554256
Sortino Ratio,1.1412708385807757
Calmar Ratio,0.7159722131461865
Max. Drawdown [%],-8.840498844705069
Avg. Drawdown [%],-1.7140126409584022
Max. Drawdown Duration,160 days 00:00:00
Avg. Drawdown Duration,30 days 00:00:00
# Trades,8
Win Rate [%],62.5
Best Trade [%],7.822055593904387
Worst Trade [%],-3.2658621878379757
Avg. Trade [%],0.864438656734845
Max. Trade Duration,72 days 00:00:00
Avg. Trade Duration,28 days 00:00:00
Profit Factor,2.256505931599686
Expectancy [%],0.9139021611627427
SQN,0.7384917965381734
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
Date                                                 
2015-08-17  10000.00000     0.000000              NaT
2015-08-18  10000.00000     0.000000              NaT
2015-08-19  10000.00000     0.000000              NaT
2015-08-20  10000.00000     0.000000              NaT
2015-08-21  10000.00000     0.000000              NaT
...                 ...          ...              ...
2016-09-21  10710.92739     0.030812              NaT
2016-09-22  10710.92739     0.030812              NaT
2016-09-23  10710.92739     0.030812              NaT
2016-09-26  10710.92739     0.030812              NaT
2016-09-27  10710.92739     0.030812         160 days

[282 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice   ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0    69        23       32  143.381150  141.806661 -108.639722  -0.010981 2015-09-18 2015-10-01  13 days
1    66        38       67  149.168959  154.205446  332.408092   0.033764 2015-10-09 2015-11-19  41 days
2    65        74       83  156.127352  151.028448 -331.428770  -0.032659 2015-12-01 2015-12-14  13 days
3    68       119      129  144.209932  145.329980   76.163246   0.007767 2016-02-05 2016-02-22  17 days
4    69       131      182  143.627515  154.862139  775.189063   0.078221 2016-02-24 2016-05-06  72 days
5    68       200      214  157.614915  157.969316   24.099303   0.002249 2016-06-02 2016-06-22  20 days
6    66       227      246  163.017008  164.532995  100.055090   0.009300 2016-07-12 2016-08-08  27 days
7    65       252      264  165.952847  163.538710 -156.918911  -0.014547 2016-08-16 2016-09-01  16 days"
